Номер сертификата о происхождении серийной продукции и дата его выдачи,"Производитель товара
(адрес производителя товара)","Наименование товара
(код ТН ВЭД ЕАЭС)","Статус сертификата о происхождении серийной продукции
(срок действия)"
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, вес, охл, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Жир-сырец ЦБ, вес, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, вес, охл, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Шея ЦБ, монолит, зам, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, монолит, зам, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, монолит, зам, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, монолит, зам, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, монолит, зам, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе кусковое ЦБ, групп, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе кусковое ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро с частью спинки ЦБ,вес, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро с частью спинки ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кисть крыла ЦБ,монолит, зам, пром.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, групп, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, групп, охл.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Плечевая и локтевая части крыла ЦБ, монолит, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт 1,0-1,3 кг, вес, охл, Э",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Ноги ЦБ, вес, зам.",Действителен до
KZ EA 3 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Ноги ЦБ, монолит, зам.",Действителен до
