document_id,issue_date,end_date,authorisation_licence,manufacturer_name,bin_iin
Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01862,2021-01-18,2024-01-18,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01863,2021-01-18,2024-01-18,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01864,2021-01-18,2024-01-18,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01288,2021-04-06,2026-04-06,"",Общественное объединение «Павлодарское сообщество инвалидов»,180740033373
сертификат соответствия  EAЭC KZ.7500986.21.01.04402,,,-,ТОО «NEWTECH DISTRIBUTION»,40440007058
Сертификат соответствия № ЕАЭС KZ.7100628.01.01.04699,,,"","ТОО ""Астор С""",21240010159
Сертификат соответствия № ЕАЭС KZ.7100628.01.01.04700,,,"","ТОО ""Астор С""",21240010159
Сертификат соответствия № ЕАЭС KZ.7100628.01.01.04701,2021-05-06,2022-05-06,"","ТОО ""Астор С""",21240010159
Сертификат соответствия № ЕАЭС KZ.7100628.01.01.04702,2021-05-06,2022-05-06,"","ТОО ""Астор С""",21240010159
Декларация о соответствии ЕАЭС № KZ.7100628.24.01.00191,,,"","ТОО ""Астор С""",21240010159
№ KZ.7700.02.01.00719971 РУ  РК-ИМН-5№015042,,2022-12-01,№ 20013034 от 08.09.2020г. (дата первичной выдачи – 13.11.2014г.),ТОО «ECO Pharm KZ»,140840013107
KZ.7700.02.01.00719977  РУ  РК-ИМН-5№015045,,2022-12-01,№ 20013034 от 08.09.2020г. (дата первичной выдачи – 13.11.2014г.),ТОО «ECO Pharm KZ»,140840013107
KZ.7700.02.01.00719976 РУ  РК-ИМН-5№015041,,2022-12-01,№ 20013034 от 08.09.2020г. (дата первичной выдачи – 13.11.2014г.),ТОО «ECO Pharm KZ»,140840013107
KZ.7700.02.01.00750655  РК-ИМН-5№016446,,,№ 20013034 от 08.09.2020г. (дата первичной выдачи – 13.11.2014г.),ТОО «ECO Pharm KZ»,140840013107
KZ.7700.02.01.00719970 РУ  РК-ИМН-5№015043,,2022-12-01,№ 20013034 от 08.09.2020г. (дата первичной выдачи – 13.11.2014г.),ТОО «ECO Pharm KZ»,140840013107
"KZ.7700.02.01.00726484 , РУ  РК-ИМН-5№016441",,,№ 20013034 от 08.09.2020г. (дата первичной выдачи – 13.11.2014г.),ТОО «ECO Pharm KZ»,140840013107
KZ.7700.02.01.00705652  РУ РК-ИМН-5№016443,,,№ 20013034 от 08.09.2020г. (дата первичной выдачи – 13.11.2014г.),ТОО «ECO Pharm KZ»,140840013107
KZ.7700.02.01.00705672  РУ  РК-ИМН- 5№020630,,,№ 20013034 от 08.09.2020г. (дата первичной выдачи – 13.11.2014г.),ТОО «ECO Pharm KZ»,140840013107
KZ.7700.02.01.00705668  РУ  РК-ИМН-5№021585,,,№ 20013034 от 08.09.2020г. (дата первичной выдачи – 13.11.2014г.),ТОО «ECO Pharm KZ»,140840013107
Декларация соответствия  ЕАЭС KZ.7500802.24.01.01182,2020-08-10,2021-08-10,-,Общественное Объединение Инвалидов «Береке-Екібастұз»,160640025296
Декларация соответствия  ЕАЭС KZ.7500802.24.01.01180,2020-08-10,2021-08-10,-,Общественное Объединение Инвалидов «Береке-Екібастұз»,160640025296
Декларация соответствия ЕАЭС KZ.7500802.24.01.01181,2020-08-10,2021-08-10,-,Общественное Объединение Инвалидов «Береке-Екібастұз»,160640025296
Декларация соответствия ЕАЭС KZ.7500802.24.01.01179,2020-08-10,2021-08-10,-,Общественное Объединение Инвалидов «Береке-Екібастұз»,160640025296
