Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/экспортера,Наименование отправителя/экспортера,Адрес отправителя/экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/импортера,Статус сертификата,Дата выдачи,12.03.2025
KZ IR 0 107 03228,Региональная палата предпринимателей Восточно-Казахстанской области,СТ-3,1801855,100440017722,"LLP ""Sercan Investment Group""","Republic of Kazakhstan, East-Kazakhstan area, Ust-Kamenogorsk city, Samarskoe highwey 17",Soft wheat 3 grade,1001990000,WO,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,22.12.2020,22.12.2021
KZ IR 0 114 03589,Региональная палата предпринимателей Павлодарской области,СТ-3,1804501,100440017722,"LLP ""Sercan Investment Group""","Republic of Kazakhstan, East-Kazakhstan area, Ust-Kamenogorsk city, Samarskoe highwey 17",Milling Wheat Kazakh Origin,1001990000,P,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,15.12.2020,15.12.2021
KZ IR 0 107 03086,Региональная палата предпринимателей Восточно-Казахстанской области,СТ-3,1801854,100440017722,"LLP ""Sercan Investment Group""","Republic of Kazakhstan, East-Kazakhstan area, Ust-Kamenogorsk city, Samarskoe highwey 17",Milling Wheat Kazakh Origin,1001990000,П,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,08.12.2020,08.12.2021
KZ IR 0 102 00366,Региональная палата предпринимателей г.Алматы,СТ-3,1800106,70940022947,"""Empire Food"" LLP","040600, Republic Of Kazakhstan Almaty region, Zhambyl district, C. Ungurtas, building 1217",Chilled lamb carcass,204210000,П,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,04.02.2020,04.02.2021
KZ IR 9 103 03579,Палата предпринимателей Акмолинской области,СТ-3,1800303,170740031781,"LLP ""Grain Pool""","Republic of Kazakhstan, East Kazakhstan region, city Ust-Kamenogorsk, highway Samara 17 on behalf LLP Rain Group on behalf Derya Global Logistics And Commodity Trading Co LTD on behalf of Kasara IC VE DIS TIC LTD Izmir Turkey","Rape seeds
 KAZAKHSTAN ORIGIN",1205109000,P,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,26.12.2019,26.12.2020
KZ IR 9 102 04881,Палата предпринимателей г.Алматы,СТ-3,1800105,70940022947,"""Empire Food"" LLP","040600, Republic Of Kazakhstan Almaty region, Zhambyl district, C. Ungurtas, building 1217",Chilled lamb carcass,204210000,П,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,23.12.2019,23.12.2020
KZ IR 9 102 04796,Палата предпринимателей г.Алматы,СТ-3,1800104,130140007195,Auliekol Agro LLP,"050059, AVENUE AL-FARABI 5, BC “NURLI-TAU”, BLOCK 1A OFFICE 401, ALMATY,REPUBLIC OF KAZAKHSTAN","KAZAKH FEED BARLEY, 
 COMMODITY CODE: 10039000
 P/I: FM-BARLEY-TTSS-140-18 dd 06/09/2018
 INSURANCE POLICY NO.:51/6306/43
 CB No.: 29123947",1003900000,П,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,18.12.2019,18.12.2020
KZ IR 9 103 03458,Палата предпринимателей Акмолинской области,СТ-3,1800302,170740031781,"LLP ""Grain Pool""","Republic of Kazakhstan, East Kazakhstan region, city Ust-Kamenogorsk, highway Samara 17 on behalf LLP Rain Group on behalf Derya Global Logistics And Commodity Trading Co LTD on behalf of Kasara IC VE DIS TIC LTD Izmir Turkey","Rape seeds
 KAZAKHSTAN ORIGIN",1205109000,P,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,18.12.2019,18.12.2020
KZ IR 9 103 03457,Палата предпринимателей Акмолинской области,СТ-3,1800301,170740031781,"LLP ""Grain Pool""","Republic of Kazakhstan, East Kazakhstan region, city Ust-Kamenogorsk, highway Samara 17 on behalf LLP Rain Group on behalf Derya Global Logistics And Commodity Trading Co LTD on behalf of Kasara IC VE DIS TIC LTD Izmir Turkey","Rape seeds 
 KAZAKHSTAN ORIGIN",1205109000,P,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,18.12.2019,18.12.2020
KZ IR 9 102 04696,Региональная палата предпринимателей г.Алматы,СТ-3,1800103,70940022947,"""Empire Food"" LLP","040600, Republic Of Kazakhstan Almaty region, Zhambyl district, C. Ungurtas, building 1217",Chilled lamb carcass,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,10.12.2019,10.12.2020
KZ IR 9 115 01960,Региональная палата предпринимателей Северо-Казахстанской области,СТ-3,1804815,160240009913,"""AllianceExport"" LLP","The Republic of Kazakhstan, 070000, Ust-Kamenogorsk city, Kгylov stг. 92/1",Kazakh Feed Barley IN BULK,1003009000,WO,Республика Казахстан,Iran (Islamic Republic),Сертификат аннулирован,06.12.2019,06.12.2020
KZ IR 9 115 01956,Региональная палата предпринимателей Северо-Казахстанской области,СТ-3,1804814,160240009913,"""AllianceExport"" LLP","The Republic of Kazakhstan, 070000, Ust-Kamenogorsk city, Kгylov stг. 92/1 on behalf of APMARIN DENIZCILIK VE ULUSLARARASI DIS.TIC.LTD.STI BY ORDER QAZAQPETROLEUM LLP",Kazakh Feed Barley IN BULK,1003009000,WO,Республика Казахстан,Iran (Islamic Republic),Истек срок действия сертификата,06.12.2019,06.12.2020
